########################################
# `caprieval` cluster-based analysis
#
# > sortby_key=score
# > sort_ascending=True
# > clt_threshold=4
#
# NOTE: if under_eval=yes, it means that there were less models in a cluster than
#    clt_threshold, thus these values were under evaluated.
#   You might need to tweak the value of clt_threshold or change some parameters
#    in `clustfcc` depending on your analysis.
#
########################################
cluster_rank	cluster_id	n	under_eval	score	score_std	irmsd	irmsd_std	fnat	fnat_std	lrmsd	lrmsd_std	dockq	dockq_std	ilrmsd	ilrmsd_std	rmsd	rmsd_std	air	air_std	bsa	bsa_std	desolv	desolv_std	elec	elec_std	total	total_std	vdw	vdw_std	caprieval_rank
1	5	10	-	-125.359	4.388	3.086	1.251	0.444	0.243	5.081	1.934	0.486	0.210	5.430	2.196	2.786	1.069	32.048	22.948	1571.068	28.129	-9.514	3.821	-425.572	37.053	-427.459	35.932	-33.935	6.140	1
2	1	10	-	-123.194	8.135	0.981	0.044	0.806	0.028	2.184	0.304	0.814	0.015	1.778	0.162	1.033	0.049	13.946	5.260	1512.048	55.324	-14.070	3.982	-355.866	74.954	-381.265	63.589	-39.345	8.147	2
3	12	9	-	-113.938	3.437	10.571	0.039	0.062	0.012	18.283	0.177	0.087	0.005	17.648	0.108	10.195	0.028	24.749	14.446	1764.635	32.066	-8.174	2.757	-314.484	11.793	-335.077	7.399	-45.342	4.611	3
4	8	10	-	-110.012	6.398	6.667	1.272	0.215	0.041	12.111	2.232	0.204	0.051	11.792	2.259	6.712	1.253	45.220	27.328	1549.892	64.533	-5.661	5.224	-390.860	30.329	-376.341	47.099	-30.701	4.458	4
5	4	10	-	-108.676	5.869	10.499	0.129	0.069	0.014	17.298	0.172	0.095	0.005	17.197	0.207	10.293	0.108	11.946	15.401	1544.793	64.698	-2.523	4.998	-384.582	44.071	-403.067	53.117	-30.431	7.890	5
6	21	4	-	-102.620	23.209	1.649	0.524	0.681	0.140	4.128	1.761	0.654	0.140	3.513	1.386	1.672	0.562	31.928	23.111	1357.930	147.749	-12.666	4.195	-341.057	43.613	-334.063	74.936	-24.935	8.479	6
7	2	10	-	-102.124	1.874	8.709	0.505	0.076	0.053	16.364	0.337	0.106	0.019	15.418	0.657	9.065	0.469	33.207	17.921	1329.695	79.441	-12.247	1.007	-369.341	21.900	-355.464	12.401	-19.329	3.840	7
8	10	10	-	-101.907	3.082	9.371	0.165	0.090	0.012	15.797	0.261	0.113	0.003	16.570	0.220	8.647	0.174	8.097	3.210	1415.988	35.893	-6.841	0.611	-271.088	11.440	-304.651	11.812	-41.658	2.132	8
9	18	5	-	-98.092	5.846	10.738	0.030	0.132	0.023	19.525	0.698	0.104	0.006	17.449	0.101	11.122	0.149	34.083	3.478	1377.390	64.030	-20.159	2.582	-235.614	29.112	-235.750	29.647	-34.219	2.454	9
10	7	10	-	-94.360	4.046	10.858	0.034	0.111	0.028	18.439	0.384	0.102	0.011	17.808	0.240	10.684	0.070	43.394	27.139	1505.900	65.731	-15.427	1.135	-224.854	44.571	-219.762	48.090	-38.302	5.864	10
11	17	5	-	-93.344	2.375	9.295	0.130	0.069	0.014	15.673	0.269	0.107	0.006	15.506	0.175	8.965	0.082	48.231	24.425	1500.330	86.456	-10.426	4.687	-267.404	39.376	-253.434	32.297	-34.260	2.445	11
12	3	10	-	-93.174	2.214	7.066	0.716	0.083	0.056	12.460	1.736	0.151	0.006	13.150	1.720	6.607	0.728	41.548	22.209	1181.820	27.395	-11.433	2.031	-322.491	35.935	-302.340	40.530	-21.397	7.920	12
13	14	8	-	-92.717	9.474	4.740	0.956	0.278	0.115	15.360	3.199	0.211	0.085	11.538	2.537	5.285	0.978	14.441	21.804	1351.725	138.474	-2.305	4.295	-313.494	33.803	-328.210	52.151	-29.157	5.413	13
14	9	10	-	-92.512	2.704	6.006	0.705	0.132	0.030	13.310	1.341	0.162	0.028	11.059	1.234	6.347	0.699	36.390	4.506	1515.135	68.122	-4.445	4.691	-294.152	45.932	-290.638	45.787	-32.876	4.149	14
15	20	4	-	-87.091	14.312	6.080	0.056	0.007	0.012	9.910	0.394	0.163	0.008	12.295	0.666	5.170	0.228	36.574	21.213	1280.060	227.092	3.292	3.601	-354.703	42.910	-341.228	50.728	-23.100	7.777	15
16	19	4	-	-82.561	4.737	10.471	0.203	0.076	0.012	17.850	0.115	0.094	0.004	17.887	0.456	10.255	0.108	57.751	22.350	1456.233	47.296	2.020	3.524	-300.527	60.550	-273.027	45.767	-30.251	8.039	16
17	6	10	-	-78.096	1.276	8.664	0.310	0.097	0.031	14.559	0.423	0.127	0.013	15.264	0.157	8.073	0.465	25.747	19.256	1281.750	84.282	-2.103	3.681	-294.634	35.352	-288.529	15.213	-19.642	7.157	17
18	16	5	-	-77.001	14.086	10.444	0.226	0.083	0.020	18.519	1.216	0.093	0.005	17.777	0.581	9.910	0.296	56.060	14.408	1337.155	124.229	-1.707	3.567	-288.270	51.526	-255.455	68.193	-23.245	6.011	18
19	11	9	-	-71.077	9.704	4.883	0.281	0.125	0.057	10.033	0.449	0.210	0.026	8.851	0.651	4.978	0.290	71.689	25.649	1418.830	120.651	1.831	1.470	-235.329	27.016	-196.651	39.597	-33.011	7.464	19
20	15	6	-	-66.760	4.851	5.334	0.168	0.076	0.030	15.837	0.577	0.125	0.011	13.994	0.395	4.917	0.222	60.002	23.499	1302.927	47.402	-13.791	2.317	-179.987	19.337	-142.957	17.357	-22.972	7.125	20
21	13	8	-	-61.744	6.369	12.082	0.275	0.042	0.014	27.742	2.419	0.048	0.009	23.755	1.443	11.710	0.370	23.892	12.304	988.051	54.474	-1.164	4.633	-215.609	32.195	-211.565	22.347	-19.847	5.152	21
